session_id,subject_id,segment,key_id,key_category,press_time_ms,release_time_ms,dwell_ms,shift_held,shift_hold_ms
session_003,candidate_09,pangram,key_03,alphanum,10348.6,10432,83.4,False,0
session_003,candidate_09,pangram,key_18,space,10424.2,10552.3,128.1,False,0
session_003,candidate_09,pangram,key_30,alphanum,10589.2,10724.2,135,False,0
session_003,candidate_09,pangram,key_22,alphanum,10708.2,10832.7,124.5,False,0
session_003,candidate_09,pangram,key_06,alphanum,10852.3,10932.9,80.6,False,0
session_003,candidate_09,pangram,key_23,alphanum,11049.5,11140.8,91.3,False,0
session_003,candidate_09,pangram,key_27,alphanum,11182.6,11265.1,82.5,False,0
session_003,candidate_09,pangram,key_24,alphanum,11275.7,11391.7,116,False,0
session_003,candidate_09,pangram,key_18,space,11441.9,11583.2,141.3,False,0
session_003,candidate_09,pangram,key_29,alphanum,11820,11890.1,70.1,False,0
session_003,candidate_09,pangram,key_23,alphanum,12004.4,12085.6,81.2,False,0
session_003,candidate_09,pangram,key_11,alphanum,12189.3,12318.4,129.1,False,0
session_003,candidate_09,pangram,key_07,alphanum,12277.2,12452.9,175.7,False,0
session_003,candidate_09,pangram,key_18,space,12440.8,12552.6,111.8,False,0
session_003,candidate_09,pangram,key_13,backspace,13086.1,13152.6,66.5,False,0
session_003,candidate_09,pangram,key_15,alphanum,13334.3,13421.3,87,False,0
session_003,candidate_09,pangram,key_24,alphanum,13384.1,13505.2,121.1,False,0
session_003,candidate_09,pangram,key_10,alphanum,13483.8,13609,125.2,False,0
session_003,candidate_09,pangram,key_18,space,13586.7,13703.8,117.1,False,0
session_003,candidate_09,pangram,key_25,alphanum,13701.5,13832.2,130.7,False,0
session_003,candidate_09,pangram,key_06,alphanum,13822.1,13951.6,129.5,False,0
session_003,candidate_09,pangram,key_05,alphanum,14282.1,14402.9,120.8,False,0
session_003,candidate_09,pangram,key_22,alphanum,14398.7,14521.1,122.4,False,0
session_003,candidate_09,pangram,key_03,alphanum,14457.8,14573.7,115.9,False,0
session_003,candidate_09,pangram,key_11,alphanum,14601.5,14722.2,120.7,False,0
session_003,candidate_09,pangram,key_30,alphanum,14766.2,14866.2,100,False,0
session_003,candidate_09,pangram,key_19,alphanum,14887.8,14975.7,87.9,False,0
session_003,candidate_09,pangram,key_18,space,15022.2,15117.7,95.5,False,0
session_003,candidate_09,pangram,key_27,alphanum,15522.1,15649.6,127.5,False,0
session_003,candidate_09,pangram,key_23,alphanum,15598.2,15716.7,118.5,False,0
session_003,candidate_09,pangram,key_22,alphanum,15673.8,15784.5,110.7,False,0
session_003,candidate_09,pangram,key_02,alphanum,15741.5,15853.7,112.2,False,0
session_003,candidate_09,pangram,key_08,alphanum,15886.6,15986.5,99.9,False,0
session_003,candidate_09,pangram,key_18,space,15992,16124.2,132.2,False,0
session_003,candidate_09,pangram,key_28,alphanum,16156.4,16236.1,79.7,False,0
session_003,candidate_09,pangram,key_13,backspace,16499.4,16549.6,50.2,False,0
session_003,candidate_09,pangram,key_28,alphanum,17017.7,17153.1,135.4,False,0
session_003,candidate_09,pangram,key_16,alphanum,17151.7,17354.3,202.6,False,0
session_003,candidate_09,pangram,key_14,alphanum,17322.4,17386.5,64.1,False,0
session_003,candidate_09,pangram,key_17,alphanum,17527.1,17638.5,111.4,False,0
session_003,candidate_09,pangram,key_18,space,17602.9,17719.1,116.2,False,0
session_003,candidate_09,pangram,key_26,alphanum,17838.5,17969.7,131.2,False,0
session_003,candidate_09,pangram,key_06,alphanum,18006.4,18109.7,103.3,False,0
session_003,candidate_09,pangram,key_12,alphanum,18205.1,18285,79.9,False,0
session_003,candidate_09,pangram,key_01,alphanum,18420.7,18519.5,98.8,False,0
