session_id,subject_id,time_ms,dx,dy
session_003,candidate_09,2966.7,1.875,0
session_003,candidate_09,2982.7,1.14062,0
session_003,candidate_09,3015.7,0.496094,0.257812
session_003,candidate_09,3033.4,0.511719,0.511719
session_003,candidate_09,3050.2,1.64844,1.96094
session_003,candidate_09,3066.9,3.08594,3.05469
session_003,candidate_09,3083.5,1.73047,2.78125
session_003,candidate_09,3100.3,2.07031,2.75391
session_003,candidate_09,3117,1.33594,1.96094
session_003,candidate_09,3133.3,0.882812,1.19531
session_003,candidate_09,3150,0.285156,0.828125
session_003,candidate_09,3166.8,0,0.515625
session_003,candidate_09,3183.4,0,1.14062
session_003,candidate_09,3200.2,0.707031,3.31641
session_003,candidate_09,3216.6,2.53906,4.99609
session_003,candidate_09,3233.3,7.60938,11.3555
session_003,candidate_09,3249.9,22.0859,23.6641
session_003,candidate_09,3267.5,51.8164,46.1992
session_003,candidate_09,3283.3,67.5898,58.293
session_003,candidate_09,3300,55.4531,44.4531
session_003,candidate_09,3316.6,67.5273,47.4258
session_003,candidate_09,3333.3,39.0117,24.2969
session_003,candidate_09,3350,44.9727,22.2305
session_003,candidate_09,3366.7,24.0078,7.09766
session_003,candidate_09,3383.2,22.082,3.74609
session_003,candidate_09,3401,16.3633,0
session_003,candidate_09,3416.7,12.6328,0
session_003,candidate_09,3433.3,6.6875,0
session_003,candidate_09,3449.9,5.46484,0.367188
session_003,candidate_09,3466.6,3.19531,0.363281
session_003,candidate_09,3483.3,1.14062,0.285156
session_003,candidate_09,3500,0.515625,0.257812
session_003,candidate_09,3516.6,0.515625,0
session_003,candidate_09,3580.4,0,-0.234375
session_003,candidate_09,3599.8,-0.917969,-1.51562
session_003,candidate_09,3616.5,-1.60156,-1.60156
session_003,candidate_09,3633.2,-1.71094,-2.39062
session_003,candidate_09,3649.9,-2.04297,-2.04297
session_003,candidate_09,3666.6,-1.96875,-1.65625
session_003,candidate_09,3683.3,-5.125,-3.82812
session_003,candidate_09,3700,-5.33203,-4.46094
session_003,candidate_09,3716.7,-8.11719,-6.08984
session_003,candidate_09,3733.3,-5.54297,-4.52734
session_003,candidate_09,3749.9,-5.91797,-5.01172
session_003,candidate_09,3766.5,-3.46094,-3.0625
session_003,candidate_09,3783.2,-1.57031,-1.57031
session_003,candidate_09,3800,-0.519531,-0.519531
session_003,candidate_09,3833.4,0,-0.125
session_003,candidate_09,4032.4,0.230469,0
session_003,candidate_09,4049,2.30078,0
session_003,candidate_09,4066.7,3.31641,0
session_003,candidate_09,4083.6,0.9375,0
session_003,candidate_09,4100.2,6.66016,0
session_003,candidate_09,4182.5,0,0.714844
session_003,candidate_09,4199.5,9.88672,18.3281
session_003,candidate_09,4216.8,8.29297,12.832
session_003,candidate_09,4233.4,9.98828,16.168
session_003,candidate_09,4250,3.72656,6.95312
session_003,candidate_09,4266.7,0.367188,1.84375
session_003,candidate_09,4283.4,0.542969,1.08594
session_003,candidate_09,4300.1,0,0.511719
session_003,candidate_09,4316.8,-1.36719,0.257812
session_003,candidate_09,4332.9,-2.38281,0
