session_id,subject_id,trial_index,pattern,time_ms,offset_x,offset_y,error_px
session_003,candidate_09,1,sinusoidal,1516.57,-22.8771,2.63672,23.0285
session_003,candidate_09,1,sinusoidal,1533.27,-21.7254,2.375,21.8549
session_003,candidate_09,1,sinusoidal,1549.97,-20.4167,2.375,20.5544
session_003,candidate_09,1,sinusoidal,1583.37,-17.0761,2.375,17.2405
session_003,candidate_09,1,sinusoidal,1599.97,-15.0436,2.375,15.2299
session_003,candidate_09,1,sinusoidal,1616.07,-12.9807,2.375,13.1962
session_003,candidate_09,1,sinusoidal,1633.27,-10.3269,2.375,10.5965
session_003,candidate_09,1,sinusoidal,1649.97,-7.35974,2.375,7.73346
session_003,candidate_09,1,sinusoidal,1666.57,-4.02165,2.375,4.67058
session_003,candidate_09,1,sinusoidal,1683.27,0.00652898,2.375,2.37501
session_003,candidate_09,1,sinusoidal,1699.97,4.40451,2.375,5.00403
session_003,candidate_09,1,sinusoidal,1716.67,8.94003,2.375,9.25012
session_003,candidate_09,1,sinusoidal,1733.37,13.8296,2.63281,14.078
session_003,candidate_09,1,sinusoidal,1766.57,24.0018,2.63281,24.1458
session_003,candidate_09,1,sinusoidal,1783.27,28.5484,2.63281,28.6695
session_003,candidate_09,1,sinusoidal,1799.97,30.5684,2.63281,30.6816
session_003,candidate_09,1,sinusoidal,1816.67,33.5066,2.63281,33.6099
session_003,candidate_09,1,sinusoidal,1833.37,35.6433,2.63281,35.7404
session_003,candidate_09,1,sinusoidal,1849.97,39.1793,2.63281,39.2677
session_003,candidate_09,1,sinusoidal,1866.57,43.0205,2.63281,43.101
session_003,candidate_09,1,sinusoidal,1883.37,45.5133,2.63281,45.5894
session_003,candidate_09,1,sinusoidal,1899.97,48.1844,3.02734,48.2794
session_003,candidate_09,1,sinusoidal,1916.67,51.6963,3.47656,51.8131
session_003,candidate_09,1,sinusoidal,1933.27,54.9385,3.47656,55.0484
session_003,candidate_09,1,sinusoidal,1966.27,58.9106,3.87109,59.0377
session_003,candidate_09,1,sinusoidal,1983.27,61.1463,3.87109,61.2688
session_003,candidate_09,1,sinusoidal,1999.97,60.3936,3.87109,60.5175
session_003,candidate_09,1,sinusoidal,2016.67,59.0046,3.87109,59.1314
session_003,candidate_09,1,sinusoidal,2033.17,57.6744,3.87109,57.8042
session_003,candidate_09,1,sinusoidal,2066.67,51.5325,3.87109,51.6777
session_003,candidate_09,1,sinusoidal,2083.37,39.8586,3.87109,40.0461
session_003,candidate_09,1,sinusoidal,2099.97,28.2352,4.57422,28.6033
session_003,candidate_09,1,sinusoidal,2116.67,22.545,4.57422,23.0044
session_003,candidate_09,1,sinusoidal,2149.97,10.7827,4.57422,11.7128
session_003,candidate_09,1,sinusoidal,2166.67,8.99366,4.00781,9.84624
session_003,candidate_09,1,sinusoidal,2182.97,2.91217,3.33203,4.42528
session_003,candidate_09,1,sinusoidal,2199.97,3.61964,3.33203,4.91978
session_003,candidate_09,1,sinusoidal,2216.67,1.92021,2.76562,3.36688
session_003,candidate_09,1,sinusoidal,2233.07,0.0357418,2.76562,2.76586
session_003,candidate_09,1,sinusoidal,2249.97,0.263194,2.76562,2.77812
session_003,candidate_09,1,sinusoidal,2266.67,1.17982,2.76562,3.00677
session_003,candidate_09,1,sinusoidal,2299.97,2.03488,3.30078,3.87761
session_003,candidate_09,1,sinusoidal,2316.67,3.66385,4.31641,5.66173
session_003,candidate_09,1,sinusoidal,2333.37,8.69925,4.79688,9.93413
session_003,candidate_09,1,sinusoidal,2366.67,16.5542,5.75391,17.5257
session_003,candidate_09,1,sinusoidal,2383.27,21.3662,5.75391,22.1274
session_003,candidate_09,1,sinusoidal,2399.97,28.5072,6.12109,29.157
session_003,candidate_09,1,sinusoidal,2416.67,31.4098,7.35938,32.2604
session_003,candidate_09,1,sinusoidal,2449.97,45.4893,8.48828,46.2744
session_003,candidate_09,1,sinusoidal,2466.67,52.5647,9.22266,53.3676
session_003,candidate_09,1,sinusoidal,2483.37,59.4573,9.95703,60.2853
session_003,candidate_09,1,sinusoidal,2499.97,66.5769,10.6641,67.4256
session_003,candidate_09,1,sinusoidal,2516.67,73.5549,11,74.3728
session_003,candidate_09,1,sinusoidal,2533.27,80.7256,11.6797,81.5662
session_003,candidate_09,1,sinusoidal,2549.37,87.3782,11.6797,88.1554
session_003,candidate_09,1,sinusoidal,2566.67,94.477,12.0195,95.2385
session_003,candidate_09,1,sinusoidal,2599.97,104.044,13.2031,104.879
session_003,candidate_09,1,sinusoidal,2616.67,107.375,13.625,108.236
session_003,candidate_09,1,sinusoidal,2633.37,109.819,14.4688,110.768
session_003,candidate_09,1,sinusoidal,2649.97,111.267,14.918,112.263
session_003,candidate_09,1,sinusoidal,2666.67,112.456,14.918,113.441
session_003,candidate_09,1,sinusoidal,2683.27,112.949,15.2852,113.979
session_003,candidate_09,1,sinusoidal,2699.97,113.5,15.2852,114.525
session_003,candidate_09,1,sinusoidal,2716.57,113.03,15.2852,114.059
session_003,candidate_09,1,sinusoidal,2733.27,111.542,15.2852,112.585
session_003,candidate_09,1,sinusoidal,2749.97,108.26,15.2852,109.333
session_003,candidate_09,1,sinusoidal,2766.17,103.758,15.2852,104.878
session_003,candidate_09,1,sinusoidal,2783.37,97.5322,15.2852,98.7226
session_003,candidate_09,1,sinusoidal,2800.07,89.8665,15.8203,91.2484
session_003,candidate_09,1,sinusoidal,2816.67,80.9346,15.8203,82.4663
session_003,candidate_09,1,sinusoidal,2848.97,64.2594,16.3555,66.3081
session_003,candidate_09,1,sinusoidal,2866.57,61.9139,16.3555,64.0378
session_003,candidate_09,1,sinusoidal,2900.07,52.6617,16.3555,55.1431
session_003,candidate_09,1,sinusoidal,2916.27,50.6213,16.3555,53.1979
session_003,candidate_09,1,sinusoidal,2932.67,49.2308,16.3555,51.8765
session_003,candidate_09,1,sinusoidal,2949.97,47.9357,16.3555,50.6492
session_003,candidate_09,1,sinusoidal,2966.67,47.0154,16.3555,49.779
session_003,candidate_09,1,sinusoidal,2999.97,45.8279,16.0938,48.5716
session_003,candidate_09,1,sinusoidal,3016.67,44.769,16.0938,47.5739
session_003,candidate_09,1,sinusoidal,3033.37,43.6071,15.5703,46.3035
session_003,candidate_09,1,sinusoidal,3049.97,41.7292,15.3086,44.4486
session_003,candidate_09,1,sinusoidal,3083.27,35.737,14.125,38.4272
session_003,candidate_09,1,sinusoidal,3099.97,29.7584,13.3828,32.6292
session_003,candidate_09,1,sinusoidal,3116.67,23.3185,12.6406,26.5243
session_003,candidate_09,1,sinusoidal,3133.37,16.5298,11.8984,20.3668
session_003,candidate_09,1,sinusoidal,3165.77,3.86898,10.5234,11.2121
session_003,candidate_09,1,sinusoidal,3182.77,-1.61512,9.94922,10.0795
session_003,candidate_09,1,sinusoidal,3198.97,-6.64208,9.42578,11.5309
session_003,candidate_09,1,sinusoidal,3216.67,-12.5455,9.13672,15.52
session_003,candidate_09,1,sinusoidal,3233.27,-18.1711,8.875,20.2226
session_003,candidate_09,1,sinusoidal,3249.97,-24.1949,8.875,25.7713
session_003,candidate_09,1,sinusoidal,3283.37,-37.3148,8.38281,38.2449
session_003,candidate_09,1,sinusoidal,3300.07,-44.3955,8.38281,45.18
session_003,candidate_09,1,sinusoidal,3316.67,-51.5222,8.13672,52.1608
session_003,candidate_09,1,sinusoidal,3333.37,-59.0183,8.13672,59.5765
session_003,candidate_09,1,sinusoidal,3350.07,-66.8325,8.13672,67.326
